id,author,full_name,ori_name,work1,work2,work3
240,钱穆,钱穆,,中国史学名著,,
241,钱钟书,钱钟书,,围城,写在人生边上,七缀集
242,铁凝,铁凝,,玫瑰门,大浴女,笨花
243,阎连科,阎连科,,日光流年,坚硬如水,受活
244,陈忠实,陈忠实,,白鹿原,康家小院,梆子老太
245,陈行之,陈行之,,当青春成为往事,,
246,霍达,霍达,,穆斯林的葬礼,,
247,韩寒,韩寒,,三重门,零下一度,我所理解的生活
248,顾城,顾城,,顾城的诗,,
249,马伯庸,马伯庸,,长安的荔枝,长安十二时辰,太白金星有点烦
250,高满堂,高满堂,,闯关东,,
251,高行健,高行健,,车站,,
252,"高鹗, 程伟元","高鹗, 程伟元",,红楼梦（后40回）,,
253,鲁迅,鲁迅,,吶喊,狂人日记,阿Q正传
