id,author,full_name,ori_name,work1,work2,work3
0,歌德,歌德,Johann Wolfgang von Goethe,浮士德,少年维特之烦恼,
1,大冰,大冰,,好吗好的,乖，摸摸头,阿弥陀佛么么哒
2,邱妙津,邱妙津,,鳄鱼手记,蒙马特遗书,
